Município;ICD10 Chapter I;ICD10 Chapter II;ICD10 Chapter III;ICD10 Chapter IV;ICD10 Chapter V;ICD10 Chapter VI;ICD10 Chapter VII;ICD10 Chapter VIII;ICD10 Chapter IX;ICD10 Chapter X;ICD10 Chapter XI;ICD10 Chapter XII;ICD10 Chapter XIII;ICD10 Chapter XIV;ICD10 Chapter XV;ICD10 Chapter XVI;ICD10 Chapter XVII;ICD10 Chapter XVIII;ICD10 Chapter XX;Total;cod_municipio
230210 Baturité;6.0;27.0;0.0;14.0;4.0;6.0;0.0;0.0;61.0;18.0;13.0;0.0;0.0;6.0;0.0;2.0;0.0;9.0;38.0;204.0;230210
230220 Beberibe;9.0;42.0;3.0;4.0;3.0;5.0;0.0;0.0;108.0;51.0;15.0;1.0;2.0;5.0;1.0;3.0;3.0;3.0;41.0;299.0;230220
230230 Bela Cruz;9.0;32.0;1.0;15.0;1.0;5.0;0.0;0.0;43.0;15.0;11.0;2.0;0.0;2.0;0.0;3.0;1.0;6.0;26.0;172.0;230230
230240 Boa Viagem;10.0;56.0;7.0;27.0;5.0;7.0;0.0;0.0;115.0;29.0;21.0;2.0;2.0;8.0;1.0;11.0;2.0;1.0;53.0;357.0;230240
230250 Brejo Santo;6.0;46.0;4.0;29.0;3.0;12.0;0.0;0.0;80.0;31.0;18.0;1.0;1.0;3.0;0.0;13.0;3.0;3.0;46.0;299.0;230250
230260 Camocim;13.0;57.0;2.0;48.0;6.0;7.0;0.0;0.0;138.0;33.0;19.0;3.0;0.0;5.0;1.0;8.0;1.0;5.0;47.0;393.0;230260
230270 Campos Sales;11.0;38.0;0.0;14.0;4.0;4.0;0.0;0.0;53.0;23.0;12.0;2.0;1.0;5.0;0.0;1.0;1.0;19.0;26.0;214.0;230270
230280 Canindé;21.0;66.0;1.0;34.0;12.0;18.0;0.0;0.0;123.0;53.0;24.0;3.0;5.0;12.0;1.0;10.0;5.0;25.0;64.0;477.0;230280
230290 Capistrano;4.0;13.0;0.0;4.0;0.0;4.0;0.0;0.0;40.0;12.0;5.0;1.0;0.0;2.0;0.0;1.0;0.0;12.0;13.0;111.0;230290
230300 Caridade;6.0;14.0;1.0;6.0;3.0;2.0;0.0;0.0;27.0;10.0;7.0;0.0;0.0;2.0;0.0;1.0;0.0;4.0;18.0;101.0;230300
230310 Cariré;7.0;18.0;1.0;1.0;0.0;2.0;0.0;0.0;29.0;16.0;7.0;0.0;0.0;1.0;0.0;3.0;0.0;24.0;15.0;124.0;230310
230320 Caririaçu;0.0;25.0;1.0;8.0;2.0;6.0;0.0;0.0;58.0;19.0;8.0;1.0;1.0;4.0;0.0;4.0;1.0;23.0;14.0;175.0;230320
230330 Cariús;3.0;20.0;2.0;11.0;1.0;5.0;0.0;0.0;33.0;22.0;4.0;2.0;0.0;0.0;1.0;1.0;0.0;7.0;8.0;120.0;230330
230340 Carnaubal;1.0;6.0;1.0;7.0;4.0;1.0;0.0;0.0;40.0;8.0;4.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;13.0;86.0;230340
230350 Cascavel;11.0;55.0;4.0;23.0;7.0;6.0;0.0;0.0;130.0;56.0;21.0;4.0;2.0;8.0;0.0;5.0;3.0;4.0;54.0;393.0;230350
230360 Catarina;3.0;14.0;0.0;3.0;1.0;0.0;0.0;0.0;30.0;6.0;1.0;0.0;0.0;2.0;0.0;0.0;1.0;1.0;10.0;72.0;230360
230365 Catunda;3.0;4.0;0.0;1.0;0.0;1.0;0.0;0.0;17.0;4.0;3.0;0.0;1.0;1.0;0.0;3.0;0.0;2.0;6.0;46.0;230365
230370 Caucaia;69.0;248.0;4.0;70.0;34.0;44.0;0.0;1.0;422.0;146.0;84.0;9.0;11.0;32.0;2.0;32.0;22.0;148.0;413.0;1791.0;230370
230380 Cedro;11.0;30.0;2.0;5.0;2.0;5.0;0.0;0.0;45.0;24.0;5.0;0.0;0.0;1.0;0.0;3.0;1.0;17.0;22.0;173.0;230380
230390 Chaval;5.0;10.0;0.0;6.0;1.0;0.0;0.0;0.0;30.0;13.0;4.0;0.0;0.0;3.0;0.0;2.0;0.0;3.0;10.0;87.0;230390
230393 Choró;3.0;9.0;0.0;5.0;0.0;2.0;0.0;0.0;11.0;5.0;4.0;0.0;0.0;2.0;0.0;3.0;1.0;7.0;16.0;68.0;230393
230395 Chorozinho;2.0;21.0;0.0;6.0;3.0;2.0;0.0;0.0;31.0;9.0;4.0;0.0;2.0;3.0;0.0;2.0;0.0;12.0;36.0;133.0;230395
230400 Coreaú;7.0;8.0;1.0;3.0;3.0;3.0;0.0;0.0;35.0;20.0;7.0;0.0;0.0;2.0;0.0;3.0;2.0;27.0;12.0;133.0;230400
230410 Crateús;18.0;96.0;5.0;43.0;14.0;12.0;0.0;0.0;141.0;71.0;28.0;2.0;1.0;16.0;0.0;15.0;1.0;10.0;59.0;532.0;230410
230420 Crato;45.0;137.0;3.0;82.0;6.0;26.0;0.0;0.0;216.0;108.0;54.0;4.0;3.0;27.0;2.0;13.0;7.0;23.0;96.0;852.0;230420
230423 Croatá;10.0;19.0;4.0;11.0;2.0;1.0;0.0;0.0;38.0;12.0;6.0;0.0;0.0;4.0;0.0;5.0;0.0;1.0;12.0;125.0;230423
230425 Cruz;7.0;22.0;2.0;5.0;2.0;4.0;0.0;0.0;57.0;19.0;7.0;3.0;2.0;3.0;0.0;4.0;2.0;5.0;19.0;163.0;230425
230426 Deputado Irapuan Pinheiro;3.0;7.0;0.0;0.0;0.0;2.0;0.0;0.0;28.0;9.0;0.0;0.0;0.0;2.0;0.0;1.0;0.0;1.0;12.0;65.0;230426
230427 Ererê;0.0;8.0;0.0;3.0;4.0;2.0;0.0;0.0;12.0;3.0;0.0;0.0;0.0;1.0;0.0;0.0;1.0;3.0;4.0;41.0;230427
230428 Eusébio;12.0;48.0;2.0;9.0;2.0;5.0;0.0;0.0;67.0;42.0;14.0;1.0;0.0;13.0;0.0;3.0;2.0;12.0;72.0;304.0;230428
230430 Farias Brito;2.0;21.0;1.0;13.0;0.0;7.0;0.0;0.0;28.0;22.0;11.0;0.0;1.0;1.0;1.0;4.0;0.0;2.0;19.0;133.0;230430
230435 Forquilha;6.0;22.0;1.0;2.0;1.0;3.0;0.0;0.0;13.0;25.0;3.0;1.0;0.0;2.0;1.0;1.0;0.0;12.0;20.0;113.0;230435
230440 Fortaleza;676.0;2629.0;64.0;515.0;380.0;557.0;1.0;3.0;3435.0;1932.0;828.0;108.0;79.0;387.0;19.0;288.0;144.0;1303.0;2951.0;16299.0;230440
